Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Subtitle (product.metafields.custom.subtitle),Colour swatches (product.metafields.custom.colour_swatches)
msfd007-womens-short-sleeve,Contrast Collar Riding Polo,"<p>A polished short-sleeve riding polo with a crisp contrast collar and clean placket. Designed to bring a quietly tailored finish to training days, show preparation and life beyond the stable.</p>
<ul><li>Crisp contrast collar and clean placket</li><li>Tailored finish for training and show preparation</li><li>Moisture-wicking, breathable technical piqué</li><li>Reinforced shoulder seams for daily wear</li></ul>
<p><strong>Fabric</strong><br>88% recycled polyester, 12% elastane technical piqué.</p>
<p><strong>Care</strong><br>Machine wash cold on a gentle cycle with like colours. Do not tumble dry, bleach or iron. Dry flat in the shade.</p>",Maison Cavallé,Apparel & Accessories > Clothing > Shirts & Tops,Short-sleeve technical polo · Black / Navy Blue,"Tops, Women, Short Sleeve, Polo, New, Maison Cavallé",TRUE,Color,Navy Blue,Size,XS,,,MSFD007-NVB-XS,205,shopify,5,deny,manual,129.00,,TRUE,TRUE,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd007-riding.webp,1,Contrast Collar Riding Polo,FALSE,Contrast Collar Riding Polo | Maison Cavallé,"Short-sleeve technical polo · Black / Navy Blue. A polished short-sleeve riding polo with a crisp contrast collar and clean placket. Designed to bring a quietly tailored finish to training days, show preparation and life beyond the stable.",Apparel & Accessories > Clothing > Shirts & Tops,female,adult,MSFD007-NVB-XS,new,FALSE,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd007-back.webp,g,,,active,Short-sleeve technical polo · Black / Navy Blue,Black:#1c1d1c | Navy Blue:#1e2d45
msfd007-womens-short-sleeve,,,,,,,,,Black,,S,,,MSFD007-BLA-S,205,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD007-BLA-S,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd007-riding.webp,g,,,,,
msfd007-womens-short-sleeve,,,,,,,,,Navy Blue,,S,,,MSFD007-NVB-S,205,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD007-NVB-S,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd007-back.webp,g,,,,,
msfd007-womens-short-sleeve,,,,,,,,,Black,,M,,,MSFD007-BLA-M,205,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD007-BLA-M,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd007-riding.webp,g,,,,,
msfd007-womens-short-sleeve,,,,,,,,,Navy Blue,,M,,,MSFD007-NVB-M,205,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD007-NVB-M,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd007-back.webp,g,,,,,
msfd007-womens-short-sleeve,,,,,,,,,Black,,L,,,MSFD007-BLA-L,205,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD007-BLA-L,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd007-riding.webp,g,,,,,
msfd007-womens-short-sleeve,,,,,,,,,Navy Blue,,L,,,MSFD007-NVB-L,205,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD007-NVB-L,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd007-back.webp,g,,,,,
msfd007-womens-short-sleeve,,,,,,,,,Navy Blue,,XL,,,MSFD007-NVB-XL,205,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD007-NVB-XL,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd007-back.webp,g,,,,,
msfd007-womens-short-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd007-front.webp,2,Contrast Collar Riding Polo,,,,,,,,,,,,,,,,
msfd007-womens-short-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd007-back.webp,3,Contrast Collar Riding Polo,,,,,,,,,,,,,,,,
